MEDICAL CONCEPT LABEL,MEDICAL CONCEPT ID
cpt::Aluminum::82108::C0202311,84
"cpt::Alveoloplasty, each quadrant (specify)::41874::C3513944|C0371917|C0002393",85
"cpt::Ambulatory blood pressure monitoring, utilizing a system such as magnetic tape and/or computer disk, for 24 hours or longer; including recording, scanning analysis, interpretation and report::93784::C3517090|C3526862|C0374344",86
cpt::Ambulatory continuous glucose monitoring of interstitial tissue fluid via a subcutaneous sensor for a minimum of 72 hours; interpretation and report::95251::C3526964|C1619753|C3704073,87
"cpt::Ambulatory continuous glucose monitoring of interstitial tissue fluid via a subcutaneous sensor for a minimum of 72 hours; sensor placement, hook-up, calibration of monitor, patient training, removal of sensor, and printout of recording::95250::C3704072|C0973351",88
cpt::Amikacin::80150::C0002500,89
"cpt::Amino acids; multiple, qualitative, each specimen::82128::C3525694|C3516296|C0373540",90
"cpt::Amino acids; single, quantitative, each specimen::82131::C0373542|C3516295|C0201874",91
"cpt::Aminolevulinic acid, delta (ala)::82135::C0201984|C3525695|C3516297",92
cpt::Amitriptyline,93
cpt::Ammonia::82140::C0201879,94
cpt::Amniocentesis::1008945::C0002627,95
cpt::Amniocentesis; diagnostic::59000::C3515035|C0002627,96
cpt::Amniocentesis; therapeutic amniotic fluid reduction (includes ultrasound guidance)::59001::C0973321,97
"cpt::Amputation of penis, radical; with bilateral inguinofemoral lymphadenectomy::54130::C3703588|C0194711",98
cpt::Amputation of penis; complete::54125::C0194710,99
cpt::Amputation of penis; partial::54120::C0194709,100
"cpt::Amputation, ankle, through malleoli of tibia and fibula (eg, syme, pirogoff type procedures), with plastic closure and resection of nerves::27888::C0188493|C3707995|C0188494|C3707994|C3519761",101
"cpt::Amputation, arm through humerus; with primary closure::24900::C3512577|C0186478",102
"cpt::Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with direct closure::26951::C0371086|C3707356|C3707358|C3519276|C3707357|C3519274|C3707355|C3519277|C3519275|C3512776",103
"cpt::Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with local advancement flaps (v-y, hood)::26952::C3519280|C3707365|C3707369|C0371087|C3519279|C3707370|C3707363|C3707360|C3707367|C3707359|C3707362|C3519281|C3707366|C3707361|C3707368|C3519278|C3512776|C3707364",104
"cpt::Amputation, foot; midtarsal (eg, chopart type procedure)::28800::C1963620|C0188605",105
"cpt::Amputation, foot; transmetatarsal::28805::C0188605|C0812427",106
"cpt::Amputation, forearm, through radius and ulna::1014089::C0186539",107
"cpt::Amputation, forearm, through radius and ulna::25900::C3512669|C0186539",108
"cpt::Amputation, forearm, through radius and ulna; open, circular (guillotine)::25905::C3702924|C0186540",109
"cpt::Amputation, leg, through tibia and fibula::1014590::C0002692",110
"cpt::Amputation, leg, through tibia and fibula::27880::C0002692",111
"cpt::Amputation, leg, through tibia and fibula; open, circular (guillotine)::27882::C0187924|C3703073|C3707991",112
"cpt::Amputation, leg, through tibia and fibula; re-amputation::27886::C2733362|C3513005|C0187926",113
"cpt::Amputation, leg, through tibia and fibula; secondary closure or scar revision::27884::C3707992|C0337308|C3707993|C0187925",114
"cpt::Amputation, leg, through tibia and fibula; with immediate fitting technique including application of first cast::27881::C0337308|C0187923|C3707990",115
"cpt::Amputation, metacarpal, with finger or thumb (ray amputation), single, with or without interosseous transfer::26910::C3707353|C3707354|C3707348|C3707349|C3707351|C3707350|C3519272|C3707352|C0371085|C3519273|C3512775|C3519270|C3519271",116
"cpt::Amputation, metatarsal, with toe, single::28810::C0188605|C0744108|C0188567",117
"cpt::Amputation, thigh, through femur, any level::1014580::C0002691",118
"cpt::Amputation, thigh, through femur, any level::27590::C0002691|C3512935",119
"cpt::Amputation, thigh, through femur, any level; open, circular (guillotine)::27592::C0187852|C3703041|C3519629",120
"cpt::Amputation, thigh, through femur, any level; re-amputation::27596::C3519632|C3703042|C0187854",121
"cpt::Amputation, thigh, through femur, any level; secondary closure or scar revision::27594::C3519630|C3512935|C3519631|C0187853",122
"cpt::Amputation, toe; interphalangeal joint::28825::C0188569|C0188605|C3708252",123
"cpt::Amputation, toe; metatarsophalangeal joint::28820::C0188568|C3708251|C0188605",124
cpt::Amylase::82150::C0201883,125
"cpt::Anastomosis, arterial, extracranial-intracranial (eg, middle cerebral/cortical) arteries::61711::C3515188|C3867325|C0190544|C3867326",126
"cpt::Anastomosis, of extrahepatic biliary ducts and gastrointestinal tract::47760::C3514367|C0372219",127
"cpt::Anastomosis, of intrahepatic ducts and gastrointestinal tract::47765::C3514367|C0372220|C3522280",128
"cpt::Anastomosis, roux-en-y, of extrahepatic biliary ducts and gastrointestinal tract::47780::C3514367|C0193534",129
"cpt::Anastomosis, roux-en-y, of intrahepatic biliary ducts and gastrointestinal tract::47785::C3514367|C0372221",130
cpt::Anastomosis::1009695::C0677554,131
cpt::Anastomosis; facial-hypoglossal::64868::C3515428|C0394407,132
cpt::Androstenedione::82157::C0337432,133
cpt::Anesthesia complicated by emergency conditions (specify) (list separately in addition to code for primary anesthesia procedure)::99140::C0198836,134
cpt::Anesthesia complicated by utilization of controlled hypotension (list separately in addition to code for primary anesthesia procedure)::99135::C0198833,135
cpt::Anesthesia complicated by utilization of total body hypothermia (list separately in addition to code for primary anesthesia procedure)::99116::C0198832,136
"cpt::Anesthesia for bone marrow aspiration and/or biopsy, anterior or posterior iliac crest::01112::C3517718|C3511757|C0918051|C3517720|C3517719|C3517722|C3517717|C3517721",137
cpt::Anesthesia for cardiac catheterization including coronary angiography and ventriculography (not to include swan-ganz catheter)::01920::C0198937|C3517821|C3511826,138
cpt::Anesthesia for closed chest procedures::1002861::C2065639,139
cpt::Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy not utilizing 1 lung ventilation::00528::C3517672|C3702576|C0370274,140
cpt::Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy utilizing 1 lung ventilation::00529::C3517673|C3869367|C1314012|C3702577|C3869366,141
cpt::Anesthesia for closed chest procedures; needle biopsy of pleura::00522::C3702574|C0198944|C0370272,142
cpt::Anesthesia for diagnostic arthroscopic procedures of shoulder joint::01622::C3511800|C0198919,143
cpt::Anesthesia for direct coronary artery bypass grafting::1019307::C2193264,144
cpt::Anesthesia for direct coronary artery bypass grafting; without pump oxygenator::00566::C3527449|C2193264|C0918049,145
"cpt::Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal procedures, including upper one-third of ureter, or donor nephrectomy::00862::C3702583|C3517699|C0199018|C0370304",146
cpt::Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; gastric restrictive procedure for morbid obesity::00797::C3511720|C3517692|C0973232,147
cpt::Anesthesia for non-invasive imaging or radiation therapy::01922::C3517822|C0370364|C3511827|C3517823,148
cpt::Anesthesia for open repair of fracture disruption of pelvis or column fracture involving acetabulum::01173::C3869325|C3869327|C1314013|C3869326,149
"cpt::Anesthesia for patient of extreme age, younger than 1 year and older than 70 (list separately in addition to code for primary anesthesia procedure)::99100::C0198831",150
cpt::Anesthesia for percutaneous image guided procedures on the spine and spinal cord; diagnostic::01935::C1964171|C3702605,151
cpt::Anesthesia for percutaneous image guided procedures on the spine and spinal cord; therapeutic::01936::C1964172|C3702606,152
"cpt::Anesthesia for procedures on heart, pericardial sac, and great vessels of chest::1002879::C3517681",153
"cpt::Anesthesia for procedures on male genitalia (including open urethral procedures); vasectomy, unilateral or bilateral::00921::C1144783|C3517706|C3517707|C3511745",154
"cpt::Anesthesia for therapeutic interventional radiological procedures involving the venous/lymphatic system (not to include access to the central circulation); intrahepatic or portal circulation (eg, transvenous intrahepatic portosystemic shunt[s] [tips])::01931::C3869226|C3869224|C0973426|C3702602|C3869225",155
"cpt::Anesthesia for upper gastrointestinal endoscopic procedures, endoscope introduced proximal to duodenum::00740::C3511712|C3517688|C0198995",156
cpt::Anesthesia for::1014043::C0002903,157
cpt::Anesthesia::1002796::C0002903,158
"cpt::Angiography through existing catheter for follow-up study for transcatheter therapy, embolization or infusion, other than for thrombolysis::75898::C0373292|C3515953|C3866252|C3866254|C3525345|C3866253",159
"cpt::Angiography, adrenal, bilateral, selective, radiological supervision and interpretation::75733::C3866291|C0202935|C3703855|C3525317",160
"cpt::Angiography, adrenal, unilateral, selective, radiological supervision and interpretation::75731::C0202934|C3703854|C3866292|C3525316",161
"cpt::Angiography, arteriovenous shunt (eg, dialysis patient fistula/graft), complete evaluation of dialysis access, including fluoroscopy, image documentation and report (includes injections of contrast and all necessary imaging from the arterial anastomosis and adjacent artery through entire venous outflow including the inferior or superior vena cava), radiological supervision and interpretation::75791::C3525323|C3866283|C2724317|C3703862",162
"cpt::Angiography, brachial, retrograde, radiological supervision and interpretation::75658::C3525313|C3866300|C3703849|C0373244",163
"cpt::Angiography, carotid, cerebral, bilateral, radiological supervision and interpretation",164
"cpt::Angiography, carotid, cerebral, unilateral, radiological supervision and interpretation",165
"cpt::Angiography, carotid, cervical, bilateral, radiological supervision and interpretation",166
"cpt::Angiography, carotid, cervical, unilateral, radiological supervision and interpretation",167
"cpt::Angiography, cervicocerebral, catheter, including vessel origin, radiological supervision and interpretation",168
"cpt::Angiography, external carotid, bilateral, selective, radiological supervision and interpretation",169
"cpt::Angiography, external carotid, unilateral, selective, radiological supervision and interpretation",170
"cpt::Angiography, extremity, bilateral, radiological supervision and interpretation::75716::C3866295|C3703852|C3866296|C0373254",171
"cpt::Angiography, extremity, unilateral, radiological supervision and interpretation::75710::C0373253|C3866298|C3703851|C3866297",172
"cpt::Angiography, pelvic, selective or supraselective, radiological supervision and interpretation::75736::C0373260|C3866289|C3703856|C3525318|C3866290",173
"cpt::Angiography, pulmonary, bilateral, selective, radiological supervision and interpretation::75743::C3866287|C3525320|C0373262|C3703858",174
"cpt::Angiography, pulmonary, by nonselective catheter or venous injection, radiological supervision and interpretation::75746::C3866286|C0373263|C3703859|C3525321|C3866285",175
"cpt::Angiography, pulmonary, unilateral, selective, radiological supervision and interpretation::75741::C3866288|C0373261|C3703857|C3525319",176
"cpt::Angiography, renal, bilateral, selective (including flush aortogram), radiological supervision and interpretation",177
"cpt::Angiography, renal, unilateral, selective (including flush aortogram), radiological supervision and interpretation",178
"cpt::Angiography, selective, each additional vessel studied after basic examination, radiological supervision and interpretation (list separately in addition to code for primary procedure)::75774::C3525322|C3866284|C0373265|C3703861",179
"cpt::Angiography, spinal, selective, radiological supervision and interpretation::75705::C3525314|C0373252|C3866299|C3703850",180
"cpt::Angiography, vertebral, cervical, and/or intracranial, radiological supervision and interpretation",181
"cpt::Angiography, visceral, selective or supraselective (with or without flush aortogram), radiological supervision and interpretation::75726::C0373257|C3525315|C3866293|C3703853|C3866294",182
"cpt::Angiography, visceral, selective or supraselective, (with or without flush aortogram), radiological supervision and interpretation",183
cpt::Angiotensin i - converting enzyme (ace)::82164::C0201888|C3516300,184
"cpt::Anogenital examination, magnified, in childhood for suspected trauma, including image recording when performed::99170::C0812566|C3704131|C3702189",185
"cpt::Anoplasty, plastic operation for stricture; adult::46700::C0193214|C3522131|C3703461",186
"cpt::Anoplasty, plastic operation for stricture; infant::46705::C0193213|C3703462|C3522131",187
"cpt::Anorectal exam, surgical, requiring anesthesia (general, spinal, or epidural), diagnostic::45990::C3514263|C3522091|C1608994",188
cpt::Anorectal manometry::91122::C3516837|C0374190,189
cpt::Anorectal myomectomy::45108::C0193056|C3514215,190
cpt::Anoscopy::1007732::C0193158,191
"cpt::Anoscopy; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique::46615::C3522129|C3522128|C3522130|C0372171|C3514293",192
"cpt::Anoscopy; with biopsy, single or multiple::46606::C0372166|C3514288|C0193162",193
"cpt::Anoscopy; with control of bleeding (eg, injection, bipolar cautery, unipolar cautery, laser, heater probe, stapler, plasma coagulator)::46614::C3514292|C0372170|C3522127",194
"cpt::Anoscopy; with dilation (eg, balloon, guide wire, bougie)::46604::C3514287|C0372165",195
cpt::Anoscopy; with removal of foreign body::46608::C3514289|C0193167,196
"cpt::Anoscopy; with removal of multiple tumors, polyps, or other lesions by hot biopsy forceps, bipolar cautery or snare technique::46612::C3522124|C3522119|C3514291|C3522125|C3522121|C0372169|C3522122|C3522123|C3522126|C3522118|C3522120",197
"cpt::Anoscopy; with removal of single tumor, polyp, or other lesion by hot biopsy forceps or bipolar cautery::46610::C3522119|C3522121|C3522122|C3522123|C3522118|C3514290|C3522120|C0372167",198
"cpt::Anoscopy; with removal of single tumor, polyp, or other lesion by snare technique::46611::C3522124|C3522125|C0372168|C3703460|C3522126",199
"cpt::Anterior colporrhaphy, repair of cystocele with or without repair of urethrocele::57240::C3514899|C1261300|C0372568|C3523220",200
cpt::Anterior instrumentation::1004130::C3701451,201
cpt::Anterior instrumentation; 2 to 3 vertebral segments (list separately in addition to code for primary procedure)::22845::C0519763|C3518544,202
cpt::Anterior instrumentation; 4 to 7 vertebral segments (list separately in addition to code for primary procedure)::22846::C3518544|C0370842,203
"cpt::Anterior tibial tubercleplasty (eg, maquet type procedure)::27418::C3512892|C0371172",204
"cpt::Anterior vesicourethropexy, or urethropexy (eg, marshall-marchetti-krantz, burch); simple::51840::C0749916|C0194504|C3867824|C3514619|C2066296",205
cpt::Anti-phosphatidylserine (phospholipid) antibody::86148::C0519834|C3516431,206
"cpt::Antibody identification, rbc antibodies, each panel for each serum technique::86870::C3525867|C0430276|C0373957",207
cpt::Antibody identification; leukocyte antibodies::86021::C0200534,208
cpt::Antibody identification; platelet antibodies::86022::C0200535,209
cpt::Antibody identification; platelet associated immunoglobulin assay::86023::C0200535|C2082405|C0200537,210
"cpt::Antibody screen, rbc, each serum technique::86850::C3525571|C3516482|C0373955",211
cpt::Antibody::1011980::C0021027,212
cpt::Antibody::1012036::C0201278,213
cpt::Antibody; actinomyces::86602::C0523264,214
cpt::Antibody; adenovirus::86603::C0523301,215
cpt::Antibody; aspergillus::86606::C0373877,216
"cpt::Antibody; bacterium, not elsewhere specified::86609::C3516464|C0373878",217
cpt::Antibody; bartonella::86611::C0918189,218
cpt::Antibody; blastomyces::86612::C0201331,219
cpt::Antibody; bordetella::86615::C0523265,220
"cpt::Antibody; borrelia burgdorferi (lyme disease) confirmatory test (eg, western blot or immunoblot)::86617::C0373881",221
cpt::Antibody; borrelia burgdorferi (lyme disease)::86618::C0523267|C0373882,222
cpt::Antibody; brucella::86622::C0523269,223
cpt::Antibody; campylobacter::86625::C0523270,224
cpt::Antibody; candida::86628::C0201332,225
"cpt::Antibody; chlamydia, igm::86632::C0523272",226
cpt::Antibody; chlamydia::86631::C0523271,227
cpt::Antibody; coccidioides::86635::C0373889,228
cpt::Antibody; coxiella burnetii (q fever)::86638::C0373890,229
"cpt::Antibody; cytomegalovirus (cmv), igm::86645::C1262310",230
cpt::Antibody; cytomegalovirus (cmv)::86644::C0201338,231
cpt::Antibody; diphtheria::86648::C0523273|C1262310,232
"cpt::Antibody; encephalitis, california (la crosse)::86651::C0373895",233
"cpt::Antibody; encephalitis, eastern equine::86652::C0373896",234
"cpt::Antibody; encephalitis, st. louis::86653::C0373897",235
"cpt::Antibody; encephalitis, western equine::86654::C0373898",236
"cpt::Antibody; enterovirus (eg, coxsackie, echo, polio)::86658::C0373899",237
"cpt::Antibody; epstein-barr (eb) virus, nuclear antigen (ebna)::86664::C3516465|C0373901",238
"cpt::Antibody; epstein-barr (eb) virus, viral capsid (vca)::86665::C3516465|C0373902",239
